1,Remdesivir,200,20,,,,,,,,,,,,
2,Oxygen,500,35,,,,,,,,,,,,
3,Parecetamol,100,50,,,,,,,,,,,,
4,Multivitamin,200,15,,,,,,,,,,,,
5,HandSanitizer,100,100,,,,,,,,,,,,
6,Gloves,20,100,,,,,,,,,,,,
7,N95-Mask,50,50,,,,,,,,,,,,
8,Arbidol,5000,200,,,,,,,,,,,,
9,Chloroquinephosphate,7000,200,,,,,,,,,,,,
10,Zincovit,165,40,,,,,,,,,,,,
11,Vitamin-C,50,30,,,,,,,,,,,,
12,Azithromycin,120,60,,,,,,,,,,,,
13,PPE-Kit,500,50,,,,,,,,,,,,
14,Fabiflu,1200,50,,,,,,,,,,,,
15,Tocilizumab,38000,30,,,,,,,,,,,,
16,Sodiumhypochlorate solution,400,20,,,,,,,,,,,,
17,Ranitidin,12,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
